,actions
0097_outdoor_natural,"Walking, Hiking, Exploring, Navigating, Observing, Photographing."
0204_outdoor_manmade,"Walking, Driving, Sightseeing"
0261_outdoor_natural,"Hiking, Walking, Exploring, Photographing"
0230_outdoor_natural,"Walking, Observing, Navigating, Exploring, Trekking, Photographing"
0127_outdoor_manmade,"Explore, Walk, Navigate, Observe, Avoid."
0212_indoor,"Viewing, walking, standing, sitting, leaning, opening, closing, decorating"
0176_outdoor_manmade,"walking, observing, stopping, turning"
0058_indoor,"Sitting, Walking, Climbing, Reading, Vending, Resting"
0270_indoor,"Climbing, Gripping, Reaching, Pushing, Balancing, Descending."
0034_outdoor_natural,"Walking, Hiking, Birdwatching, Reflecting, Photographing, Exploring."
0096_outdoor_natural,"Walking, Hiking, Exploring, Observing, Resting, Photographing"
0018_outdoor_manmade,"Walking, Descending, Climbing, Observing, Exploring"
0184_indoor,"walk, enter, exit, stand, sit, look, turn-on, turn-off, touch, hang"
0095_outdoor_natural,"walking, hiking, climbing, sitting, exploring"
0111_outdoor_natural,"Walking, Driving, Biking, Exploring, Jogging, Sitting, Standing, Photographing"
0257_outdoor_manmade,"Driving, Walking, Stopping, Turning, Cycling"
0175_outdoor_manmade,"Boating, Walking, Swimming, Sitting, Viewing."
0124_outdoor_manmade,"Walking, Driving, Parking, Sitting, Looking, Shopping."
0186_outdoor_manmade,"Walk, Hike, Explore, Follow, Photograph, Observe"
0234_indoor,"Reading, Walking, Sitting, Typing, Computing, Viewing"
0108_outdoor_natural,"Walking, Observing, Exploring, Photographing"
0282_indoor,"Swimming, Diving, Walking, Sitting, Turning, Watching."
0256_outdoor_manmade,"Drive, Walk, Stand, Observe, Turn, Stop, Merge."
0158_outdoor_natural,"Observing, Photographing, Walking, Contemplating."
0125_outdoor_manmade,"Walking, Standing, Looking, Illuminating."
0055_indoor,"sleeping, sitting, reading, walking, opening, closing, turning-on, turning-off, dressing, undressing, reflecting, decorating."
0104_outdoor_natural,"Sailing, Swimming, Surfing, Fishing, Boating, Photographing"
0179_outdoor_manmade,"Walking, observing, photographing, shopping, socializing."
0146_indoor,"Reading, walking, viewing, standing, learning, approaching."
0193_outdoor_manmade,"Walking, standing, sitting, observing, entering, exiting, leaning, praying, resting."
0046_outdoor_manmade,"Walking, Hiking, Exploring, Resting"
0131_outdoor_manmade,"Walking, Wading, Exploring, Photographing"
0099_outdoor_natural,"Walking, Exploring, Touching, Photographing"
0129_outdoor_manmade,"Walking, Exploring, Photographing, Reflecting, Commemorating, Observing, Learning"
0266_indoor,"Climbing, Descending, Holding, Viewing."
0105_outdoor_natural,"Sailing, Exploring, Observing, Photographing, Researching"
0233_indoor,"Entering, Exiting, Sitting, Reading, Printing, Working, Walking, Opening, Closing, Storing, Filing, Displaying, Viewing."
0023_outdoor_natural,"Walking, Climbing, Exploring, Photographing."
0098_outdoor_natural,"Walking, Photographing, Exploring, Hiking, Snowshoeing, Observing, Skiing."
0161_outdoor_manmade,"Walking, sitting, stepping, viewing, reflecting, crossing"
0227_outdoor_natural,"Walking, Observing, Exploring"
0015_outdoor_manmade,"Walking, driving, cycling, sitting, standing, parking, shopping."
0191_outdoor_manmade,"Walking, Observing, Sitting, Gardening, Strolling, Shading."
0275_outdoor_natural,"Walking, Running, Swimming, Sitting, Building, Wading, Strolling, Reflecting, Observing, Photographing"
0162_outdoor_manmade,"Walking, Standing, Sitting, Observing, Gardening, Photographing"
0133_outdoor_manmade,"Driving, Walking, Exploring, Photography."
0215_indoor,"Sitting, Watching, Walking, Standing, Holding, Placing, Resting, Typing, Reading."
0188_outdoor_manmade,"Walking, Crossing, Holding, Viewing."
0277_indoor,"Walking, Exploring, Photographing"
0240_outdoor_manmade,"walk, observe, read, stand, sit"
0106_outdoor_natural,"Walking, Exploring, Photographing, Hiking, Observing"
0045_outdoor_manmade,"Walking, Exploring, Observing"
0258_outdoor_manmade,"Walking, Cycling, Jogging, Passing, Entering, Exiting"
0083_outdoor_natural,"Walking, Hiking, Farming, Observing, Photography"
0209_indoor,"Sitting, Writing, Presenting, Drinking, Reading, Listening, Learning, Projecting, Discussing, Observing"
0135_indoor,"walking, observing, browsing"
0102_indoor,"sitting, writing, reading, walking, teaching, presenting, learning, opening, closing, projecting, watching, listening."
0189_outdoor_manmade,"Walking, Sitting, Observing, Cleaning, Gardening"
0021_indoor,"Walking, Standing, Turning, Exiting."
0245_indoor,"Browse, Select, Walk, Reach, Push, Pull, Read, Compare, Navigate, Observe, Shop, Pay."
0165_outdoor_manmade,"Walking, Exploring, Photographing, Crossing, Observing"
0038_indoor,"sitting, walking, lying, opening, closing, heating"
0272_indoor,"climbing, walking, crawling, sitting, standing"
0027_outdoor_natural,"Walk, Observe, Explore, Photograph"
0247_outdoor_manmade,"Walking, Viewing, Graffiti, Lighting."
0085_outdoor_natural,"Hiking, Exploring, Photographing, Observing, Contemplating"
0101_outdoor_natural,"Walking, Hiking, Observing, Photographing"
0273_outdoor_natural,"Sailing, Swimming, Fishing, Observing, Photographing, Boating."
0259_indoor,"Skating, Hockey, Spectating"
0130_indoor,"Entering, Exiting, Climbing, Descending, Walking, Standing, Viewing."
0084_outdoor_natural,"Sitting, climbing, walking, resting, exploring, shading."
0217_outdoor_manmade,"Walking, Biking, Disposing, Observing, Slipping, Shivering, Navigating"
0280_indoor,"sitting, walking, sleeping, watching, resting"
0035_indoor,"Sitting, working, viewing, reading, turning, dialing, watering, adjusting, typing, swiveling, resting, hanging, plugging, illuminating."
0167_outdoor_manmade,"Walking, Driving, Turning, Stopping, Parking, Exploring, Jogging, Cycling, Observing"
0143_indoor,"Reading, walking, browsing, purchasing, opening, closing, sitting, viewing, talking, interacting, examining, waiting."
0057_indoor,"Walking, Opening, Closing, Turning, Reading, Standing, Sitting, Knocking, Waiting, Entering, Exiting, Lighting."
0059_outdoor_manmade,"Walking, Entering, Exiting, Climbing, Parking, Observing, Photographing."
0153_outdoor_natural,"Walking, Swimming, Reflecting, Viewing, Fishing, Hiking"
0075_outdoor_natural,"Climbing, Hiking, Exploring, Photographing, Observing"
0263_indoor,"sitting, walking, viewing, reading, opening, closing, lighting, displaying"
0236_indoor,"Sliding, walking, sitting, standing, opening, closing."
0195_outdoor_manmade,"Walking, Exploring, Observing, Reflecting, Photographing"
0040_outdoor_manmade,"Walking, Driving, Parking, Viewing, Hanging."
0132_outdoor_natural,"Walking, Climbing, Sitting, Observing"
0238_indoor,"Sitting, Walking, Viewing, Standing, Waiting"
0072_indoor,"Sitting, Sleeping, Cooking, Refrigerating, Extinguishing, Throwing, Washing, Reflecting, Opening."
0070_outdoor_manmade,"walking, observing, photographing, approaching, exploring"
0210_outdoor_natural,"walking, hiking, photographing, observing, exploring"
0068_outdoor_manmade,"Walking, Driving, Cycling, Exploring, Jogging, Sightseeing"
0185_indoor,"Walking, Sitting, Opening, Closing, Standing, Entering, Exiting, Viewing."
0157_outdoor_manmade,"Swimming, sitting, lounging, walking, entering, exiting, shading, reclining."
0224_indoor,"Entering, Exiting, Walking, Standing, Sitting, Reading, Browsing, Leaning."
0271_indoor,"Climbing, Walking, Entering, Exiting, Observing."
0154_outdoor_manmade,"Walking, Sitting, Leaning, Viewing."
0235_indoor,"Ascending, Descending, Walking, Standing, Touching, Purchasing."
0178_outdoor_natural,"Walking, Boating, Fishing, Photographing, Relaxing, Crossing"
0276_outdoor_manmade,"Walking, Exploring, Inspecting, Entering, Exiting, Turning-around, Standing, Crouching."
0080_indoor,"Sitting, Eating, Cooking, Walking, Viewing, Lighting, Reading, Relaxing, Opening, Closing, Drinking, Decorating, Cleaning"
0128_outdoor_natural,"Swimming, Exploring, Photographing, Observing"
0036_indoor,"Sitting, Reading, Working, Typing, Studying, Browsing, Eating, Talking, Walking."
0155_outdoor_manmade,"Swimming, Walking, Sitting, Lounging, Sunbathing, Stepping, Entering, Exiting."
0140_indoor,"Reading, Viewing, Touching, Listening"
0054_indoor,"Sit, Walk, Stand, Climb, Open, Close, Warm, View, Rest"
0229_indoor,"Sitting, Walking, Reading, Writing, Meeting, Opening, Viewing, Waiting."
0160_outdoor_natural,"Walking, Swimming, Sitting, Hiking, Photography, Relaxing, Sunbathing, Exploring, Boating."
0283_indoor,"Skating, Walking, Running, Playing, Sitting, Standing, Observing"
0017_outdoor_natural,"Hiking, Observing, Photographing, Exploring, Resting"
0024_outdoor_manmade,"Walking, Strolling, Exploring, Photographing, Admiring, Opening, Closing, Sitting, Standing, Knocking, Watering."
0008_outdoor_natural,"Climbing, Hiking, Descending, Exploring, Navigating, Balancing, Jumping."
0220_outdoor_manmade,"Walking, Driving, Cycling, Pedestrian-crossing, Snow-shoveling."
0011_outdoor_natural,"Walking, Exploring, Hiking, Photography, Bird-watching, Snowshoeing, Contemplating."
0166_outdoor_natural,"Walking, Running, Sitting, Photography, Contemplating, Surfing, Swimming (caution needed), Sandcastle-building"
0265_indoor,"Watching, sitting, writing, lighting, opening, storing, reflecting, resting, eating, drinking"
0159_indoor,"Sitting, writing, teaching, walking, presenting, reading, erasing, projecting, discussing."
0009_outdoor_natural,"Climbing, Hiking, Exploring, Photographing"
0152_outdoor_manmade,"Walking, Contemplating, Photographing, Exploring, Relaxing, Sightseeing"
0087_outdoor_manmade,"walking, entering, looking, lifting, carrying, stacking, building, climbing"
0074_outdoor_manmade,"Walking, Gardening, Entering, Exiting, Exploring."
0033_indoor,"Climbing, Descending, Walking, Touching, Looking, Illuminating"
0279_indoor,"Cooking, Eating, Drinking, Sitting, Lighting, Cooling, Washing, Opening, Reading, Listening."
0066_indoor,"drive, walk, turn, park, stop, follow"
0010_outdoor_natural,"Climbing, Hiking, Observing, Photographing"
0145_indoor,"Viewing, Reading, Learning, Walking, Standing, Observing, Reflecting"
0119_outdoor_manmade,"Driving, Walking, Sliding, Snowballing, Photographing"
0163_indoor,"Walking, Descending, Ascending, Holding, Standing"
0148_outdoor_manmade,"Walking, Swimming, Photographing, Observing"
0042_outdoor_natural,"Boating, Hiking, Swimming, Exploring, Fishing, Photographing"
0136_indoor,"Walking, Shopping, Browsing, Admiring, Photographing."
0013_outdoor_natural,"Walking, Exploring, Photographing"
0268_indoor,"Swimming, sitting, walking, lounging, standing, talking."
0246_outdoor_natural,"Swimming, Sunbathing, Walking, Sitting, Building, Collecting, Throwing, Wading."
0026_outdoor_manmade,"Walking, Turning, Following, Standing, Leaning, Reading, Exiting"
0151_outdoor_manmade,"Walking, sitting, climbing, resting, exploring, observing, shading, leaning, touching."
0221_indoor,"sitting, walking, entering, waiting, viewing, adjusting"
0216_indoor,"Sitting, Writing, Meeting, Discussing, Presenting, Reading, Working, Projecting."
0043_outdoor_natural,"Walking, Hiking, Following, Reading, Observing"
0243_indoor,"Walking, Sitting, Exiting, Checking-in, Waiting, Lighting."
0274_indoor,"Walking, viewing, sitting, examining, illuminating."
0149_outdoor_manmade,"Walking, Climbing, Standing, Sitting, Resting, Leaning, Observing, Passing."
0150_outdoor_manmade,"Walking, sitting, climbing, viewing, resting."
0076_outdoor_manmade,"Entering, walking, viewing, touching, opening"
0120_outdoor_natural,"Walking, exploring, harvesting, photographing."
0226_indoor,"sitting, standing, walking, opening, exiting, presenting, viewing, writing, reading, leaning, waiting, conversing."
0211_indoor,"Walking, Opening, Closing, Knocking, Locking, Unlocking, Standing, Turning."
0115_outdoor_manmade,"Walking, Exploring, Observing"
0244_indoor,"Sitting, Walking, Standing, Exercising, Opening, Closing, Viewing, Typing, Resting, Drinking, Lighting, Listening."
0007_outdoor_natural,"Walking, Hiking, Exploring, Photographing, Contemplating."
0121_outdoor_natural,"Walking, Hiking, Exploring, Observing, Photographing"
0089_outdoor_manmade,"Walking, Building, Farming, Fishing, Boating."
0032_outdoor_manmade,"Walking, Driving, Hiking, Exploring, Resting"
0203_outdoor_natural,"Walking, Hiking, Sitting, Climbing, Observing, Photographing, Wading, Skipping, Relaxing"
0252_outdoor_natural,"Exploring, Walking, Observing, Climbing, Restricting, Preserving."
0063_outdoor_manmade,"Stop, Wait, Look, Yield"
0164_indoor,"Reading, Sitting, Browsing, Walking, Selecting, Returning, Studying"
0025_indoor,"Walking, Sitting, Standing, Observing, Waiting."
0117_outdoor_manmade,"Walking, Standing, Driving, Parking, Observing, Reading, Talking"
0093_outdoor_manmade,"Walking, Sitting, Standing, Observing, Entering, Exiting, Climbing, Descending, Socializing"
0060_outdoor_manmade,"climbing, descending, walking, sitting, gardening, resting."
0251_outdoor_natural,"Boating, Swimming, Photographing, Exploring"
0249_indoor,"Walking, Exploring, Observing, Photographing"
0200_outdoor_natural,"Swimming, Boating, Hiking, Photography."
0199_outdoor_natural,"Sailing, swimming, exploring, hiking, resting, photographing."
0056_indoor,"opening, walking, sitting, washing, drying, reflecting"
0004_outdoor_natural,"Walking, Hiking, Exploring, Observing, Relaxing"
0281_indoor,"Dancing, Walking, Stretching, Reflecting, Sitting, Listening, Opening, Closing, Standing, Exercising."
0028_outdoor_manmade,"Walking, Turning, Stopping, Door-opening, Looking, Exploring"
0262_indoor,"sitting, sleeping, watching, storing, drinking, illuminating, reflecting, writing"
0198_outdoor_natural,"Swimming, walking, boating, fishing, sheltering."
0250_outdoor_natural,"Exploring, Hiking, Photographing"
0030_outdoor_manmade,"Walking, Driving, Resting, Sightseeing, Photographing"
0237_indoor,"entering, exiting, walking, reading, switching, adjusting"
0147_outdoor_manmade,"Walking, Boating, Docking, Fishing, Embarking, Disembarking, Exploring, Resting"
0092_outdoor_manmade,"Walking, Standing, Sitting, Carrying, Hanging, Cleaning."
0218_outdoor_natural,"Walking, Observing, Reflecting, Photographing, Fishing (assuming legal and safe conditions), Skipping, Contemplating."
0181_outdoor_natural,"Swimming, Hiking, Photographing, Observing, Relaxing, Wading, Exploring"
0005_outdoor_natural,"Walking, Hiking, Exploring, Observing, Photographing"
0110_outdoor_manmade,"Walking, Driving, Standing, Sitting, Jogging, Cycling, Parking, Resting, Observing."
0067_outdoor_manmade,"Walking, Climbing, Sitting, Looking, Opening, Closing, Knocking, Entering, Exiting."
0207_outdoor_natural,"Walking, Running, Sitting, Reflecting, Observing, Exploring, Photographing"
0052_outdoor_natural,"Climbing, Hiking, Exploring, Photographing, Observing, Resting, Sitting, Walking."
0003_outdoor_natural,"Walking, Hiking, Exploring, Observing, Photographing"
0109_outdoor_manmade,"Walking, Driving, Biking, Standing, Sitting, Observing, Turning, Lighting."
0206_outdoor_natural,"Walking, Sitting, Observing, Reflecting, Relaxing, Photographing, Running"
0139_indoor,"browsing, touching, sitting, reading, shopping, walking, looking"
0053_outdoor_natural,"Walking, Running, Hiking, Plowing, Sowing, Harvesting"
0002_outdoor_natural,"Walking, Exploring, Fishing, Photographing, Relaxing, Hiking, Observing, Contemplating"
0232_indoor,"Sitting, Eating, Watching, Playing, Working, Walking, Exiting, Entering, Lighting, Decorating."
0214_indoor,"sitting, walking, standing, kneeling, praying, lighting, observing"
0241_indoor,"walking, opening, reading, exiting, disposing"
0001_outdoor_natural,"walk, observe, photograph, explore"
0050_outdoor_natural,"Walking, Climbing, Holding"
0049_outdoor_natural,"Climbing, Hiking, Walking, Exploring"
0205_outdoor_natural,"Walking, swimming, sitting, resting, climbing, photographing."
0065_outdoor_manmade,"Walking, Stopping, Observing, Avoiding"
0254_outdoor_natural,"Walking, swimming, sitting, standing, running, observing, photographing, reflecting, meditating, wading."
0156_indoor,"Swimming, Diving, Turning, Pushing-off, Floating, Racing, Lanes, Water, Indoor, Reflection, Tiles, Exercise, Competition, Training, Depth, Leisure, Facility"
0126_outdoor_natural,"Walking, Turning, Exploring, Entering, Hiking, Climbing, Opening."
0208_indoor,"Sitting, Walking, Opening, Closing, Printing, Shredding, Disposing, Writing, Reading, Hanging."
0103_indoor,"sitting, writing, reading, teaching, opening, walking, viewing, learning"
0255_outdoor_natural,"Swimming, Walking, Sitting, Sunbathing, Surfing, Sailing, Building, Photographing."
0064_outdoor_manmade,"Driving, Walking, Cycling, Parking, Turning."
0142_outdoor_manmade,"sitting, walking, entering, observing, touching"
